Date,Open,High,Low,Close,Adj Close,Volume
1986-02-01,2.429528,2.907216,2.383301,2.860988,1.263615,154805300
1986-03-01,2.860988,3.122946,2.753123,3.081854,1.361165,144685100
1986-04-01,3.081854,4.109138,2.896943,3.687952,1.677859,284468800
1986-05-01,3.687952,3.965319,3.564678,3.862590,1.757312,109230000
1986-06-01,3.862590,4.509780,3.831772,4.499507,2.047081,129493400
1986-07-01,4.499507,4.499507,3.687952,3.975592,1.847172,135544100
1986-08-01,3.965319,3.965319,3.492768,3.749589,1.742165,113345100
1986-09-01,3.749589,3.780408,2.958580,3.246220,1.508285,181320600
1986-10-01,3.246220,3.646861,3.246220,3.605769,1.719464,115015600
1986-11-01,3.605769,3.687952,3.256492,3.544132,1.690072,82782700
1986-12-01,3.544132,3.811226,3.451677,3.544132,1.690072,129813300
1987-01-01,3.616042,4.684418,3.616042,4.643327,2.265484,224507400
1987-02-01,4.643327,4.930966,4.396779,4.879602,2.380763,117599100
1987-03-01,4.879602,5.372699,4.766601,5.126151,2.501055,118247600
1987-04-01,5.126151,5.608974,4.889875,5.280243,2.619120,126437900
1987-05-01,5.280243,5.506246,4.910421,5.259697,2.608928,83078500
1987-06-01,5.259697,6.019888,5.187788,5.937706,2.945236,104798300
1987-07-01,5.906887,5.999342,5.578156,5.927433,2.985781,81671800
1987-08-01,5.927433,6.780079,5.855523,6.574622,3.311785,102591000
1987-09-01,6.574622,6.615713,5.876069,6.369165,3.208291,120241900
1987-10-01,6.369165,6.574622,3.390039,4.540598,2.316635,248496100
1987-11-01,4.540598,4.746055,4.109138,4.304323,2.196085,130134600
1987-12-01,4.304323,5.167242,3.965319,4.869329,2.484354,160993900
1988-01-01,4.951512,5.362426,4.622781,4.776874,2.437183,123796200
1988-02-01,4.776874,5.126151,4.437870,5.043968,2.615754,112757700
1988-03-01,5.043968,5.280243,4.776874,4.859056,2.519861,99506400
1988-04-01,4.859056,4.889875,4.458416,4.725510,2.450605,140176700
1988-05-01,4.725510,4.828238,4.478961,4.766601,2.526100,68828600
1988-06-01,4.776874,5.393245,4.776874,5.177515,2.743868,141451900
1988-07-01,5.177515,5.311062,4.930966,5.187788,2.749310,81630600
1988-08-01,5.187788,5.290516,4.941239,5.146696,2.781691,65741200
